TS,O,H,L,C,VOL
1663731900.0,41282.6,41501.7,41256.0,41307.8,0.0
1663732200.0,41313.0,41377.2,41301.95,41360.6,0.0
1663732500.0,41357.8,41443.6,41333.25,41423.6,0.0
1663732800.0,41422.4,41435.5,41383.1,41399.9,0.0
1663733100.0,41400.4,41400.45,41317.35,41345.9,0.0
1663733400.0,41345.1,41347.05,41283.6,41292.9,0.0
1663733700.0,41291.4,41291.75,41223.6,41250.3,0.0
1663734000.0,41249.5,41293.4,41223.95,41243.6,0.0
1663734300.0,41238.4,41272.4,41222.9,41240.1,0.0
1663734600.0,41241.6,41243.3,41170.4,41191.1,0.0
1663734900.0,41189.0,41231.8,41161.95,41225.6,0.0
1663735200.0,41225.3,41270.9,41224.95,41263.8,0.0
1663735500.0,41258.6,41288.0,41236.45,41253.4,0.0
1663735800.0,41253.9,41302.6,41232.15,41301.7,0.0
1663736100.0,41301.8,41354.45,41301.35,41343.2,0.0
1663736400.0,41348.6,41389.25,41348.65,41385.1,0.0
1663736700.0,41384.4,41413.0,41345.5,41346.2,0.0
1663737000.0,41345.9,41355.35,41299.8,41328.9,0.0
1663737300.0,41327.1,41341.15,41311.45,41334.4,0.0
1663737600.0,41336.9,41372.5,41330.8,41347.6,0.0
1663737900.0,41345.2,41346.75,41315.6,41339.7,0.0
1663738200.0,41340.8,41342.45,41312.4,41336.4,0.0
1663738500.0,41335.4,41339.9,41308.25,41322.7,0.0
1663738800.0,41322.9,41339.6,41293.55,41321.3,0.0
1663739100.0,41320.6,41356.6,41307.65,41351.9,0.0
1663739400.0,41352.1,41353.2,41316.15,41316.3,0.0
1663739700.0,41317.1,41324.5,41267.45,41270.6,0.0
1663740000.0,41270.2,41273.0,41231.7,41246.8,0.0
1663740300.0,41247.6,41286.2,41243.75,41269.5,0.0
1663740600.0,41269.0,41277.25,41212.4,41220.8,0.0
1663740900.0,41219.1,41242.45,41199.35,41226.3,0.0
1663741200.0,41224.0,41241.55,41085.4,41092.9,0.0
1663741500.0,41099.4,41109.55,41046.0,41047.2,0.0
1663741800.0,41046.9,41073.8,41022.65,41034.9,0.0
1663742100.0,41033.0,41058.0,40976.15,40978.6,0.0
1663742400.0,40974.7,41016.65,40951.45,40998.1,0.0
1663742700.0,40999.6,41015.9,40953.0,40988.9,0.0
1663743000.0,40987.1,40990.9,40916.9,40928.7,0.0
1663743300.0,40932.6,40940.0,40889.15,40939.9,0.0
1663743600.0,40940.7,40956.5,40908.1,40917.9,0.0
1663743900.0,40922.6,40972.85,40905.55,40972.9,0.0
1663744200.0,40973.7,41061.1,40946.05,41058.2,0.0
1663744500.0,41057.0,41121.9,41042.25,41115.2,0.0
1663744800.0,41113.1,41125.4,41080.1,41099.2,0.0
1663745100.0,41097.4,41156.85,41097.45,41133.7,0.0
1663745400.0,41137.2,41153.0,41081.5,41092.5,0.0
1663745700.0,41090.4,41104.85,41068.6,41071.6,0.0
1663746000.0,41073.6,41085.25,41046.55,41056.6,0.0
1663746300.0,41062.3,41110.9,41060.95,41085.1,0.0
1663746600.0,41087.2,41109.2,41071.65,41073.5,0.0
1663746900.0,41071.2,41083.6,41051.9,41082.9,0.0
1663747200.0,41082.4,41106.05,41068.25,41100.3,0.0
1663747500.0,41101.6,41171.35,41095.6,41170.9,0.0
1663747800.0,41174.9,41230.35,41169.45,41195.4,0.0
1663748100.0,41196.1,41313.4,41196.15,41299.9,0.0
1663748400.0,41299.2,41312.1,41246.3,41256.7,0.0
1663748700.0,41256.1,41275.65,41209.9,41221.0,0.0
1663749000.0,41220.4,41276.0,41200.4,41269.6,0.0
1663749300.0,41268.8,41296.0,41257.7,41290.9,0.0
1663749600.0,41293.1,41330.9,41279.05,41295.6,0.0
1663749900.0,41299.0,41319.6,41267.45,41279.6,0.0
1663750200.0,41281.3,41285.85,41209.7,41227.9,0.0
1663750500.0,41228.2,41244.55,41184.75,41226.6,0.0
1663750800.0,41230.6,41246.4,41193.85,41198.7,0.0
1663751100.0,41199.5,41246.4,41187.1,41199.5,0.0
1663751400.0,41197.4,41285.9,41195.75,41259.5,0.0
1663751700.0,41257.9,41278.55,41209.45,41229.7,0.0
1663752000.0,41231.9,41257.25,41212.05,41240.2,0.0
1663752300.0,41242.8,41271.85,41231.5,41235.9,0.0
1663752600.0,41234.1,41264.55,41190.35,41202.5,0.0
1663752900.0,41202.9,41217.15,41165.75,41184.5,0.0
1663753200.0,41184.4,41210.7,41184.35,41206.4,0.0
1663753500.0,41205.1,41231.15,41204.45,41222.4,0.0
1663753800.0,41223.8,41230.1,41161.95,41177.8,0.0
1663754100.0,41178.4,41219.35,41175.15,41197.6,0.0
1663818300.0,40889.1,41009.35,40795.25,40975.9,0.0
1663818600.0,40986.9,41122.85,40974.55,41097.8,0.0
1663818900.0,41096.9,41096.95,40982.85,41082.4,0.0
1663819200.0,41088.8,41138.0,41038.55,41134.8,0.0
1663819500.0,41134.4,41159.2,41102.8,41115.8,0.0
1663819800.0,41119.3,41120.15,40983.4,40997.8,0.0
1663820100.0,41001.1,41051.6,40936.8,40987.9,0.0
1663820400.0,40985.4,41019.65,40977.0,40990.3,0.0
1663820700.0,40990.5,41041.0,40989.15,41009.9,0.0
1663821000.0,41010.4,41013.8,40938.05,40981.6,0.0
1663821300.0,40982.1,40982.15,40888.9,40892.1,0.0
1663821600.0,40896.9,40918.9,40851.3,40881.8,0.0
1663821900.0,40885.9,40885.85,40814.9,40814.9,0.0
1663822200.0,40818.9,40820.2,40763.15,40812.4,0.0
1663822500.0,40812.2,40844.55,40760.6,40762.3,0.0
1663822800.0,40761.0,40763.55,40700.85,40721.9,0.0
1663823100.0,40730.6,40734.35,40681.7,40718.2,0.0
1663823400.0,40719.1,40769.2,40706.3,40717.8,0.0
1663823700.0,40714.9,40788.25,40714.95,40785.9,0.0
1663824000.0,40786.1,40812.4,40767.4,40779.6,0.0
1663824300.0,40782.1,40782.15,40722.0,40768.9,0.0
1663824600.0,40774.2,40856.45,40755.35,40834.0,0.0
1663824900.0,40834.8,40838.3,40756.85,40759.9,0.0
1663825200.0,40763.2,40763.55,40712.9,40754.8,0.0
1663825500.0,40757.1,40759.1,40647.4,40694.8,0.0
1663825800.0,40691.2,40695.3,40610.75,40631.1,0.0
1663826100.0,40632.1,40642.35,40606.4,40614.5,0.0
1663826400.0,40615.3,40675.15,40601.55,40661.3,0.0
1663826700.0,40670.1,40696.35,40643.45,40645.4,0.0
1663827000.0,40644.1,40669.65,40617.2,40619.9,0.0
1663827300.0,40621.4,40660.65,40620.0,40629.9,0.0
1663827600.0,40626.9,40662.5,40613.1,40654.1,0.0
1663827900.0,40653.6,40666.4,40606.55,40663.7,0.0
1663828200.0,40664.8,40664.75,40550.8,40563.5,0.0
1663828500.0,40563.3,40580.4,40511.9,40527.2,0.0
1663828800.0,40532.5,40559.6,40512.35,40537.6,0.0
1663829100.0,40537.1,40590.55,40533.45,40579.1,0.0
1663829400.0,40583.6,40598.85,40523.15,40525.8,0.0
1663829700.0,40520.9,40537.6,40460.3,40481.1,0.0
1663830000.0,40484.1,40485.85,40453.95,40481.2,0.0
1663830300.0,40484.1,40530.8,40477.75,40510.9,0.0
1663830600.0,40509.8,40509.75,40413.75,40414.1,0.0
1663830900.0,40415.7,40459.55,40360.2,40453.6,0.0
1663831200.0,40453.4,40473.7,40422.4,40454.9,0.0
1663831500.0,40455.8,40521.65,40442.7,40466.3,0.0
1663831800.0,40461.1,40545.4,40455.0,40542.6,0.0
1663832100.0,40544.8,40552.35,40506.75,40525.1,0.0
1663832400.0,40524.6,40576.3,40519.45,40571.4,0.0
1663832700.0,40568.4,40676.05,40564.9,40670.6,0.0
1663833000.0,40671.6,40682.15,40638.1,40662.9,0.0
1663833300.0,40665.4,40670.75,40616.9,40661.1,0.0
1663833600.0,40658.9,40782.65,40655.85,40781.2,0.0
1663833900.0,40783.3,40804.6,40749.35,40760.6,0.0
1663834200.0,40758.6,40796.1,40718.2,40723.3,0.0
1663834500.0,40724.9,40810.25,40722.95,40809.1,0.0
1663834800.0,40813.9,40880.95,40813.6,40876.4,0.0
1663835100.0,40875.2,40897.75,40822.9,40854.2,0.0
1663835400.0,40855.4,40921.4,40854.8,40908.4,0.0
1663835700.0,40912.1,40930.2,40898.95,40912.1,0.0
1663836000.0,40914.7,40929.1,40836.85,40852.1,0.0
1663836300.0,40854.1,40914.05,40848.0,40894.2,0.0
1663836600.0,40896.2,40897.45,40828.2,40869.7,0.0
1663836900.0,40869.8,40870.95,40792.55,40808.8,0.0
1663837200.0,40804.6,40842.3,40762.7,40798.6,0.0
1663837500.0,40799.1,40822.8,40760.65,40793.5,0.0
1663837800.0,40795.8,40802.95,40758.7,40785.9,0.0
1663838100.0,40785.6,40839.3,40722.4,40722.5,0.0
1663838400.0,40722.1,40739.5,40698.8,40698.8,0.0
1663838700.0,40699.2,40745.5,40665.25,40715.3,0.0
1663839000.0,40716.0,40762.8,40695.75,40700.6,0.0
1663839300.0,40700.3,40703.6,40580.7,40603.8,0.0
1663839600.0,40603.7,40618.6,40566.65,40604.5,0.0
1663839900.0,40603.6,40640.45,40573.3,40602.1,0.0
1663840200.0,40601.9,40633.2,40594.8,40627.6,0.0
1663840500.0,40627.9,40656.2,40627.9,40637.3,0.0
